GEOID,sovi,rank,fema_region
g01001,-4.560287013862149,708.0,FEMA_4
g01003,-1.6866899159876398,582.0,FEMA_4
g01005,1.7208733036082822,149.0,FEMA_4
g01007,-3.1166732782861066,670.0,FEMA_4
g01009,-2.3265708997770354,624.0,FEMA_4
g01011,0.3420735798207186,305.0,FEMA_4
g01013,1.5412760707288298,166.0,FEMA_4
g01015,-1.1747126600092823,516.0,FEMA_4
g01017,0.0760377527420916,349.0,FEMA_4
g01019,-0.09333683069504184,369.0,FEMA_4
g01021,-2.198917375149869,618.0,FEMA_4
g01023,-1.4818417196254579,552.0,FEMA_4
g01025,-0.6890604102400271,450.0,FEMA_4
g01027,0.5498874384243171,279.0,FEMA_4
g01029,-1.6331897297582705,570.0,FEMA_4
g01031,-0.9532580895521036,483.0,FEMA_4
g01033,-1.6306498729604268,569.0,FEMA_4
g01035,0.6212895924412595,273.0,FEMA_4
g01037,-0.39480129378781204,406.0,FEMA_4
g01039,0.07070944879071853,350.0,FEMA_4
g01041,-0.3614204533970646,403.0,FEMA_4
g01043,-0.9767966286094425,490.0,FEMA_4
g01045,-0.4205702726362166,412.0,FEMA_4
g01047,0.8704849674006417,243.0,FEMA_4
g01049,0.3385310385425634,306.0,FEMA_4
g01051,-3.21218183259296,673.0,FEMA_4
g01053,2.78450386477555,82.0,FEMA_4
g01055,-0.47931018964512184,420.0,FEMA_4
g01057,-0.28594854494168165,391.0,FEMA_4
g01059,0.38699792316482007,300.0,FEMA_4
g01061,-0.5166486404652229,426.0,FEMA_4
g01063,1.4428214097893812,178.0,FEMA_4
g01065,0.8573671007358262,246.0,FEMA_4
g01067,0.06955292444321809,351.0,FEMA_4
g01069,-1.3816163808059274,538.0,FEMA_4
g01071,-0.9753851961335435,489.0,FEMA_4
g01073,-1.808608318719798,591.0,FEMA_4
g01075,-0.4391600689525723,414.0,FEMA_4
g01077,-0.6960366210150781,453.0,FEMA_4
g01079,-0.29490373644712875,393.0,FEMA_4
g01081,-3.092307419657095,667.0,FEMA_4
g01083,-2.7223775492034563,646.0,FEMA_4
g01085,-0.9062614189701511,481.0,FEMA_4
g01087,3.072014555162276,68.0,FEMA_4
g01089,-3.8113731804593587,693.0,FEMA_4
g01091,0.18458178779429557,332.0,FEMA_4
g01093,0.4965714250102341,286.0,FEMA_4
g01095,-0.11511334323704431,372.0,FEMA_4
g01097,-1.5120730853122921,557.0,FEMA_4
g01099,0.4022445519533648,299.0,FEMA_4
g01101,-1.139513807310128,510.0,FEMA_4
g01103,-1.7212500799452553,586.0,FEMA_4
g01105,3.3638201981286526,56.0,FEMA_4
g01107,0.14537489714222906,339.0,FEMA_4
g01109,0.337660551904045,308.0,FEMA_4
g01111,0.06904609640808407,352.0,FEMA_4
g01113,0.6498014078029748,269.0,FEMA_4
g01115,-3.665926157873236,687.0,FEMA_4
g01117,-6.295277128644887,728.0,FEMA_4
g01119,3.410538059558996,52.0,FEMA_4
g01121,-0.9026089316117771,480.0,FEMA_4
g01123,0.6800972281753774,264.0,FEMA_4
g01125,-2.3522249567192945,629.0,FEMA_4
g01127,-0.4866161898933276,422.0,FEMA_4
g01129,-0.3726931898737669,404.0,FEMA_4
g01131,0.8478800393659379,249.0,FEMA_4
g01133,0.475153540584643,287.0,FEMA_4
g02013,,,
g02016,,,
g02020,,,
g02050,,,
g02060,,,
g02068,,,
g02070,,,
g02090,,,
g02100,,,
g02105,,,
g02110,,,
g02122,,,
g02130,,,
g02150,,,
g02164,,,
g02170,,,
g02180,,,
g02185,,,
g02188,,,
g02195,,,
g02198,,,
g02220,,,
g02230,,,
g02240,,,
g02261,,,
g02270,,,
g02275,,,
g02282,,,
g02290,,,
g04001,9.371917709283371,1.0,FEMA_9
g04003,0.44575821033757124,40.0,FEMA_9
g04005,-0.5026438811333283,50.0,FEMA_9
g04007,5.275461778203924,3.0,FEMA_9
g04009,0.45077087976627844,39.0,FEMA_9
g04011,-4.60347234263721,86.0,FEMA_9
g04012,4.1007297856655995,7.0,FEMA_9
g04013,-2.2215266695477442,77.0,FEMA_9
g04015,2.064234033324842,14.0,FEMA_9
g04017,4.8980570191436765,4.0,FEMA_9
g04019,0.049355469388133066,46.0,FEMA_9
g04021,-1.3658149467691314,65.0,FEMA_9
g04023,3.604386941862867,9.0,FEMA_9
g04025,0.9605921896578761,28.0,FEMA_9
g04027,2.3918211240135405,12.0,FEMA_9
g05001,-0.613106301084583,316.0,FEMA_6
g05003,-1.2021118897859535,359.0,FEMA_6
g05005,3.674997888161194,35.0,FEMA_6
g05007,-1.4536477328373087,377.0,FEMA_6
g05009,1.0897458578294807,155.0,FEMA_6
g05011,0.5639527593049498,199.0,FEMA_6
g05013,-2.7948309774929636,441.0,FEMA_6
g05015,1.4978174692996689,127.0,FEMA_6
g05017,1.8615358429655584,99.0,FEMA_6
g05019,1.5109044188161138,125.0,FEMA_6
g05021,1.2101995955367693,145.0,FEMA_6
g05023,0.8407707156320312,179.0,FEMA_6
g05025,-2.1660534413894275,408.0,FEMA_6
g05027,0.14275912617401398,241.0,FEMA_6
g05029,0.3158025968458205,220.0,FEMA_6
g05031,-0.3027628875607159,282.0,FEMA_6
g05033,0.3933264696415148,215.0,FEMA_6
g05035,-0.7511028553151399,329.0,FEMA_6
g05037,0.11639946041500712,246.0,FEMA_6
g05039,-0.8572757290482507,339.0,FEMA_6
g05041,0.99131026457507,166.0,FEMA_6
g05043,-0.2998028065258692,281.0,FEMA_6
g05045,-2.510924942760356,429.0,FEMA_6
g05047,1.3282050484830261,138.0,FEMA_6
g05049,3.7835957920071004,34.0,FEMA_6
g05051,1.1061055797738686,153.0,FEMA_6
g05053,-2.648652731730943,437.0,FEMA_6
g05055,0.0815233897364332,251.0,FEMA_6
g05057,0.8018629541230098,184.0,FEMA_6
g05059,-0.4988063681685661,302.0,FEMA_6
g05061,1.3527819862398354,135.0,FEMA_6
g05063,0.5266528773614517,204.0,FEMA_6
g05065,1.9918161534348355,92.0,FEMA_6
g05067,1.2237612213924627,144.0,FEMA_6
g05069,-0.2862007154663471,278.0,FEMA_6
g05071,0.02020402764972979,259.0,FEMA_6
g05073,1.00218504812108,164.0,FEMA_6
g05075,3.4939492616645538,36.0,FEMA_6
g05077,0.6262183659289069,196.0,FEMA_6
g05079,-3.7375287802277435,477.0,FEMA_6
g05081,0.28185527116583553,227.0,FEMA_6
g05083,0.8602181687953447,177.0,FEMA_6
g05085,-1.847812807020859,394.0,FEMA_6
g05087,0.31772854435066816,219.0,FEMA_6
g05089,3.034218444338308,51.0,FEMA_6
g05091,-0.7299402605820844,327.0,FEMA_6
g05093,-0.3887720341376848,291.0,FEMA_6
g05095,1.3511314812044894,136.0,FEMA_6
g05097,0.5707149298117361,198.0,FEMA_6
g05099,0.09063566951653601,250.0,FEMA_6
g05101,0.9757265604025142,168.0,FEMA_6
g05103,0.6320471991242558,195.0,FEMA_6
g05105,-1.4807089303120247,380.0,FEMA_6
g05107,2.4694955793501414,68.0,FEMA_6
g05109,-0.002588115429845772,261.0,FEMA_6
g05111,2.005448051689577,91.0,FEMA_6
g05113,1.0629373766041514,157.0,FEMA_6
g05115,-0.14443018399853363,272.0,FEMA_6
g05117,0.9199744942842478,172.0,FEMA_6
g05119,-1.477084776971706,379.0,FEMA_6
g05121,1.7250406152284599,113.0,FEMA_6
g05123,-0.2908348697368323,280.0,FEMA_6
g05125,-2.8566877153086243,445.0,FEMA_6
g05127,0.5626628159166628,200.0,FEMA_6
g05129,4.663160298886,20.0,FEMA_6
g05131,1.0348740015336166,161.0,FEMA_6
g05133,1.7482642181068837,108.0,FEMA_6
g05135,3.0397599283563754,50.0,FEMA_6
