GEOID,sovi_weighted,rank_weighted
g01001,-6.810768723686672,3109.0
g01003,-1.9871062210525126,2483.0
g01005,-0.025567270406678784,1586.0
g01007,-2.3078851284901476,2576.0
g01009,-0.5178685703235992,1881.0
g01011,-0.484592149784928,1861.0
g01013,0.7004796482945166,1190.0
g01015,-0.019318142224643807,1584.0
g01017,1.744805435592804,698.0
g01019,-1.6677680778772799,2383.0
g01021,-2.4257451312033353,2606.0
g01023,-0.6476378565188265,1940.0
g01025,1.058068573470278,1002.0
g01027,0.10966134575560549,1519.0
g01029,-0.6201701125321193,1931.0
g01031,-0.8125615728165695,2022.0
g01033,-0.5515466150469843,1896.0
g01035,2.413749780198104,452.0
g01037,-1.2267754322199664,2219.0
g01039,1.536396251548632,795.0
g01041,-0.45182826807938214,1850.0
g01043,-0.8001125881234524,2015.0
g01045,-0.6794325806432336,1954.0
g01047,3.55052983384166,250.0
g01049,0.07281529508747231,1541.0
g01051,-2.6234224519116913,2664.0
g01053,0.5585961113023903,1270.0
g01055,0.6324304630642109,1226.0
g01057,0.11723962861915793,1517.0
g01059,-0.050747635307728745,1607.0
g01061,0.09424704542058682,1527.0
g01063,3.078826003588083,317.0
g01065,1.8304356421901808,657.0
g01067,0.5584838959425925,1271.0
g01069,-0.06349772495093031,1617.0
g01071,-1.3865409081595619,2278.0
g01073,-0.44054734374075233,1840.0
g01075,0.611268115656834,1236.0
g01077,0.23352626002989818,1451.0
g01079,-1.2413770280979306,2226.0
g01081,-4.062750810820093,2943.0
g01083,-3.2162237456332474,2804.0
g01085,1.7903746142212682,680.0
g01087,4.432082769906449,152.0
g01089,-3.6816656811528037,2886.0
g01091,1.821949975429427,660.0
g01093,0.7865750629754712,1144.0
g01095,-0.07687388763231318,1622.0
g01097,-0.40418434812225323,1821.0
g01099,0.982466005189073,1038.0
g01101,0.2795861934123389,1429.0
g01103,-1.1928180220410773,2200.0
g01105,5.496695527733722,101.0
g01107,1.7578446335248754,693.0
g01109,0.43515658508874944,1347.0
g01111,0.505850910473606,1304.0
g01113,1.8543564952478844,646.0
g01115,-3.670246979093302,2883.0
g01117,-5.741074249102711,3064.0
g01119,6.025837851995881,85.0
g01121,-0.3612495691446205,1796.0
g01123,1.6704679752320544,733.0
g01125,-1.728648149325181,2403.0
g01127,0.13126949210013894,1501.0
g01129,-3.389680840260898,2841.0
g01131,3.2577907621285194,294.0
g01133,0.3018549591974291,1419.0
g02013,-10.167367417836141,3140.0
g02016,-8.519325753309777,3133.0
g02020,-4.762691584497705,3004.0
g02050,9.828533379470082,17.0
g02060,-3.5164930180947995,2857.0
g02068,-4.407895266110306,2968.0
g02070,7.017127820958597,55.0
g02090,-5.95331321223353,3080.0
g02100,-4.402906271321962,2967.0
g02105,2.6699082452893856,402.0
g02110,-5.41829502360194,3049.0
g02122,-3.2955512872248387,2819.0
g02130,-2.9624259170212657,2744.0
g02150,-3.6414823697222793,2876.0
g02164,9.441223292229614,20.0
